Tenure,NumOfProducts,HasCrCard,IsActiveMember,CreditScoreBins,Geography_Germany,Geography_Spain,Gender_Male,Age,Balance,EstimatedSalary
6,2,1,1,2,0.0,0.0,1.0,-0.6781806678855523,-1.2258476714090278,1.373783577489681
4,2,1,1,1,1.0,0.0,1.0,0.3029834928284992,0.6913888112717486,1.6674072888505693
3,1,1,0,0,0.0,1.0,1.0,-1.4631119964567936,0.613101513322822,-0.24691024540961162
9,1,1,0,0,0.0,0.0,0.0,-1.168762748242578,0.9480212886658435,0.921445934982976
9,1,0,0,0,0.0,0.0,1.0,1.6766133178281712,1.0523628958095774,-1.0538117002471714
4,1,1,0,0,0.0,0.0,1.0,0.20486707675709404,0.7013078286541791,1.0965467387821273
1,2,0,0,2,0.0,0.0,0.0,0.10675066068568889,-1.2258476714090278,-0.4230437819643489
8,2,1,1,3,0.0,0.0,0.0,0.5973327410427146,-1.2258476714090278,-0.014589369574700512
3,2,1,1,0,0.0,0.0,0.0,-0.48194783574274197,-1.2258476714090278,-0.6757263082480467
2,2,0,1,1,0.0,0.0,1.0,3.4427088071134637,-1.2258476714090278,-0.843986626925251
8,2,0,1,2,0.0,0.0,0.0,1.3822640696139559,0.7590353911277289,1.223571650489153
2,2,1,0,1,0.0,1.0,0.0,0.008634244614283748,-1.2258476714090278,-1.0323675845006035
5,1,1,1,3,0.0,0.0,1.0,-0.6781806678855523,-1.2258476714090278,-0.6129798378783452
5,2,1,0,0,0.0,0.0,0.0,-0.8744135000283626,-1.2258476714090278,0.7634574729491831
5,2,1,1,0,0.0,0.0,0.0,0.20486707675709404,-1.2258476714090278,-0.10293244907426596
7,2,1,1,0,0.0,0.0,0.0,-0.7762970839569574,-1.2258476714090278,1.3147411381734793
8,1,0,1,2,0.0,0.0,0.0,0.49921632497130947,0.9128893853020643,-1.6412095378255886
10,1,1,0,0,0.0,1.0,1.0,0.10675066068568889,0.7191379872250948,0.6654779308942537
8,1,1,0,4,1.0,0.0,1.0,0.9897984053283352,0.35521940225342435,0.33186282167809833
5,1,1,1,1,1.0,0.0,1.0,-1.0706463321711728,-0.08636462884465432,0.528873418664373
5,2,1,1,1,0.0,0.0,1.0,-0.2857150035999317,0.6582840166325081,0.19967894122334953
3,2,1,0,3,0.0,0.0,1.0,-1.0706463321711728,-1.2258476714090278,-1.7003829163175697
4,2,1,0,2,1.0,0.0,1.0,-0.00019623283214305012,0.3104050416335127,1.614449260902941
3,1,1,0,0,0.0,0.0,1.0,-0.3838314196713368,0.7139277344162686,-1.566428313914659
8,1,1,1,2,0.0,0.0,0.0,-0.18759858752852654,-1.2258476714090278,-1.455230349036253
10,1,1,0,0,1.0,0.0,1.0,-1.0706463321711728,0.7986207472214858,-1.1779474294766656
2,2,1,0,2,1.0,0.0,1.0,-0.5800642518141471,1.3675731738005368,1.204912730995527
0,1,1,0,0,1.0,0.0,1.0,-0.7762970839569574,0.5962523740832555,-1.1649035922208955
7,1,1,1,1,0.0,0.0,1.0,1.6766133178281712,-1.2258476714090278,0.7357291462152229
10,2,0,0,0,0.0,0.0,1.0,0.5973327410427146,-1.2258476714090278,1.253497599140119
6,1,1,1,3,0.0,0.0,1.0,-0.18759858752852654,-1.2258476714090278,0.279119200109934
9,1,0,0,2,0.0,0.0,1.0,1.6766133178281712,-1.2258476714090278,-0.252886671083418
10,1,0,0,2,0.0,0.0,1.0,-0.8744135000283626,-0.30176480444184867,-0.3625491871940479
8,1,1,0,1,0.0,0.0,0.0,-1.2668791643139832,1.17804860513472,-1.0043827700053216
10,2,1,1,4,0.0,0.0,1.0,-1.4631119964567936,-1.2258476714090278,0.9879719046695089
6,2,0,1,4,0.0,1.0,0.0,-0.48194783574274197,0.9889405810273375,0.807214111140652
2,2,1,0,0,0.0,0.0,1.0,0.4010999088999043,-1.2258476714090278,0.09526320831431884
7,1,1,0,2,0.0,0.0,0.0,0.10675066068568889,-1.2258476714090278,-0.47363290633741106
5,1,1,1,1,1.0,0.0,0.0,1.0879148213997403,0.5044292211027313,-1.619001175495286
4,2,0,0,1,0.0,0.0,0.0,-1.168762748242578,-1.2258476714090278,-0.19717022594403
6,2,0,0,3,1.0,0.0,0.0,-0.0894821714571214,1.6572113983013164,0.922179403035352
9,1,0,0,2,0.0,1.0,0.0,0.008634244614283748,1.370446033057918,-0.17176611305266304
4,1,1,0,1,0.0,0.0,0.0,0.008634244614283748,0.06102995965881718,-0.05038427987472927
8,2,1,0,3,0.0,0.0,0.0,-0.48194783574274197,-1.2258476714090278,-0.808696519317505
6,2,1,0,1,1.0,0.0,0.0,1.6766133178281712,0.4288689357208532,0.7470224327637217
8,2,0,0,4,0.0,0.0,0.0,-0.9725299160997677,-1.2258476714090278,0.8216614146483724
6,2,0,0,3,0.0,0.0,0.0,0.5973327410427146,-1.2258476714090278,0.818926298717641
0,1,1,0,2,1.0,0.0,0.0,0.4010999088999043,0.6812955792163597,1.4156303817268467
4,2,1,0,2,1.0,0.0,1.0,-0.3838314196713368,0.9617904984019738,0.28834058721697675
9,2,1,0,2,0.0,0.0,0.0,-0.9725299160997677,-1.2258476714090278,0.19954243756732398
7,2,1,0,0,0.0,1.0,1.0,-0.6781806678855523,-1.2258476714090278,-0.5593008619588935
5,2,1,0,1,0.0,0.0,0.0,-0.48194783574274197,-1.2258476714090278,1.4862665895248106
4,2,1,1,0,0.0,0.0,1.0,2.4615446463994126,-1.2258476714090278,0.8384207596981493
5,1,1,1,0,0.0,0.0,1.0,3.540825223184869,0.17076821488704447,-1.056183559951868
8,1,1,1,1,0.0,1.0,0.0,2.265311814256602,0.5051544477771887,-1.3337966966360317
3,2,1,0,2,0.0,0.0,0.0,0.20486707675709404,1.1830372030284575,-0.4941498405630522
5,2,1,1,1,0.0,0.0,1.0,3.7370580553276795,-1.2258476714090278,1.0692428775569034
6,2,1,0,3,0.0,1.0,0.0,0.7935655731855249,0.8143927044767368,0.42785201870517203
6,1,1,1,1,0.0,1.0,1.0,1.8728461499709816,0.3497535170587949,0.5554723297984796
7,2,1,1,1,1.0,0.0,1.0,-1.0706463321711728,0.6567931749693471,-1.1407215783034736
10,2,1,0,1,0.0,0.0,0.0,-0.3838314196713368,-1.2258476714090278,1.3971976931332066
10,2,0,0,1,1.0,0.0,1.0,-0.2857150035999317,0.48429196021605525,1.7080076495127163
9,1,1,0,1,0.0,0.0,1.0,-0.18759858752852654,-1.2258476714090278,0.19515188876352027
7,1,1,0,2,0.0,0.0,1.0,-0.48194783574274197,1.3467496321138546,0.37932192591299774
0,3,0,0,1,1.0,0.0,0.0,1.1860312374711455,0.5122799400909355,-0.2037564838747549
2,2,0,0,1,0.0,0.0,0.0,-0.0894821714571214,-1.2258476714090278,1.3678621010583
2,1,0,1,0,1.0,0.0,1.0,-0.6781806678855523,0.3623178087532522,0.19231782941842143
2,1,0,1,3,0.0,0.0,1.0,-0.18759858752852654,-1.2258476714090278,-1.6002269669265707
3,2,1,1,2,1.0,0.0,0.0,3.4427088071134637,0.5062237764781788,-1.4544934031837236
6,2,1,0,1,0.0,0.0,1.0,0.4010999088999043,0.3706273838671962,1.516434593066461
4,1,0,1,1,1.0,0.0,0.0,0.20486707675709404,0.9126909696947761,0.8905470717390648
4,2,1,0,2,0.0,0.0,1.0,-1.3649955803853884,-1.2258476714090278,0.9148005544496411
5,1,0,1,0,0.0,1.0,0.0,-1.4631119964567936,1.5345322143211786,0.9573319636470267
1,1,1,0,4,0.0,0.0,1.0,2.167195398185197,-1.2258476714090278,-0.8176727215137248
5,3,1,0,1,1.0,0.0,0.0,0.008634244614283748,0.10999405929642006,-1.6021637538320628
9,1,1,0,1,1.0,0.0,1.0,0.7935655731855249,1.2115058358970832,0.37821007320391925
4,1,1,0,2,0.0,0.0,0.0,-0.2857150035999317,-1.2258476714090278,1.4865969805393946
2,2,0,1,1,0.0,0.0,1.0,-0.00019623283214305012,-1.2258476714090278,0.04217145895078773
4,1,1,0,2,0.0,0.0,1.0,1.0879148213997403,1.425649325891091,0.359613406333041
9,1,1,1,4,1.0,0.0,0.0,-1.168762748242578,0.5699204753635505,0.3411368974574667
3,3,1,0,1,0.0,1.0,0.0,0.008634244614283748,-1.2258476714090278,0.7021528985231289
9,2,0,0,4,0.0,0.0,0.0,-0.3838314196713368,-1.2258476714090278,-1.3000149109548649
1,2,1,1,2,0.0,0.0,1.0,-0.5800642518141471,-1.2258476714090278,-0.23783162199887078
3,1,1,0,2,0.0,0.0,1.0,1.2841476535425507,-1.2258476714090278,1.3172766283753987
1,2,0,1,3,0.0,0.0,1.0,0.3029834928284992,0.8540979433445258,0.7555220024489027
8,2,1,0,1,0.0,1.0,0.0,-0.5800642518141471,-1.2258476714090278,0.24504284475576454
6,2,0,1,2,0.0,0.0,0.0,-1.4631119964567936,0.6164486147304176,0.6204049453446799
3,2,1,1,2,0.0,1.0,1.0,-0.3838314196713368,-1.2258476714090278,1.3278232312309382
3,1,0,1,2,0.0,1.0,0.0,-0.7762970839569574,1.0147362126856645,0.3577496532307729
2,1,0,0,0,0.0,1.0,0.0,0.5973327410427146,-1.2258476714090278,1.6988982475706165
6,2,1,1,2,0.0,0.0,0.0,-0.48194783574274197,-1.2258476714090278,1.3080030742660536
1,1,0,0,0,1.0,0.0,1.0,0.10675066068568889,0.3653658443101213,0.6001065908586872
5,2,1,1,2,0.0,1.0,1.0,0.4010999088999043,-1.2258476714090278,-0.6186091790968308
